make_model,body_type,km,gear_type,fuel_type,price
Volkswagen up!,Compact,155000.0,Manuel,Gasoline,4495.0
Opel Corsa,Compact,58223.0,Semi-automatic,Gasoline,
Toyota Tundra,Transporter,10.0,Semi-automatic,Other,69500.0
Opel Meriva,Van,149051.0,Semi-automatic,Gasoline,8949.0
Opel Meriva,Van,343723.0,,Diesel,3450.0
Toyota Auris,Station wagon,,Manuel,Gasoline,13495.0
Volkswagen Polo,Compact,120306.0,,Gasoline,10950.0
Honda Jazz,Compact,10.0,Manuel,Electric/Gasoline,28415.0
Honda Jazz,Van,52355.0,Automatic,Gasoline,14900.0
Toyota C-HR,Off-Road/Pick-up,127304.0,,Electric/Gasoline,19795.0
Opel Insignia,Station wagon,115627.0,Manuel,Diesel,11745.0
Opel Mokka X,Off-Road/Pick-up,53898.0,Automatic,,24950.0
Toyota Prius+,Van,63269.0,Automatic,Electric/Gasoline,20900.0
Opel Mokka X,Off-Road/Pick-up,47448.0,Manuel,Gasoline,15445.0
Honda CR-V,Off-Road/Pick-up,31550.0,Manuel,Gasoline,32990.0
Opel Mokka,Off-Road/Pick-up,71422.0,Manuel,Gasoline,12240.0
Volkswagen Crafter,Transporter,127683.0,Manuel,Diesel,24444.0
Volkswagen Golf,Compact,192560.0,Manuel,Diesel,7650.0
Volkswagen Touareg,Transporter,107726.0,Manuel,Diesel,26995.0
Toyota Hiace,Transporter,119403.0,Semi-automatic,Diesel,7300.0
Honda Jazz,Van,27822.0,Automatic,Electric/Gasoline,14950.0
Opel Meriva,Van,144727.0,,Other,6950.0
Toyota Yaris,Compact,71494.0,Automatic,Electric/Gasoline,10450.0
Volkswagen Touran,Van,116187.0,Manuel,Gasoline,11395.0
Volkswagen ID.4,Off-Road/Pick-up,15.0,Automatic,Electric,50850.0
Opel Mokka,Off-Road/Pick-up,94169.0,Manuel,Gasoline,12490.0
Opel Meriva,Coupe,134023.0,Semi-automatic,Gasoline,9800.0
Volkswagen Golf Sportsvan,Van,97549.0,Manuel,Gasoline,13245.0
Volkswagen Golf GTE,Convertible,158879.0,Automatic,Electric/Gasoline,11950.0
Toyota Yaris,Compact,65879.0,Automatic,Electric/Gasoline,10800.0
Opel Corsa,Compact,10.0,Automatic,Electric,31816.0
Volkswagen Touran,Van,1031.0,Manuel,Gasoline,34500.0
